
arrhaśanjh;nearaśanjh;arrhaśanjh;arrhaśanje,ær̥ˈr̥æɕæɲ̊;ˈneɐ̯ˌræɕæɲ̊;ær̥ˈr̥æɕæɲ̊;ær̥ˈr̥æɕˌæɲ̊ɛ,V-PP;V-PN;V-VP;V-VI,to arrive (formal),CF: *xaśanjh* 'to arrive (common)'
ioña';qêśśgheña';ioña';ljienjâeo,ˈiɔɴæʔ;ˈɢeɕˌɕɣɛɴæʔ;ˈiɔɴæʔ;ˈʎie̯ˌɲɑe̯ɔ,V-PP;V-PN;V-VP;V-VI,to grab / take,REG: uioña';CF ORIG: *ljoña'* 'to hold'
ljanji;nealjanji;ljanji;ljanciñe,ˈʎæɲ̊i;ˈneɐ̯ˌʎæɲ̊i;ˈʎæɲ̊i;ˈʎæɲ̊ˌciɴɛ,V-PP;V-PN;V-VP;V-VI,to give,NOTE: PARTs merged with *ljanji* 'to like' and 'to take (formal)';CF semi-REG: *aljarni* 'give > give up'
ljanji;qêśśanji;ljanji;ljanjiñe,ˈʎæɲ̊i;ˈɢeɕˌɕæɲ̊i;ˈʎæɲ̊i;ˈʎæɲ̊ˌiɴɛ,V-PP;V-PN;V-VP;V-VI,to take (formal),NOTE: POS-PART merged with *ljanji* 'to like' and 'to give';CF: *ioña'* 'to take' (general)
ienjaś;jêienjaś;ienjaś;ninjaśe,ˈie̯ɲæɕ;ˈjeˌie̯ɲæɕ;ˈie̯ɲæɕ;ˈniˌɲæɕɛ,V-PP;V-PN;V-VP;V-VI,to bring,
quttunjh;jêddünjh;quttunjh;quttunjo,ˈɢuttuɲ̊;ˈjeddyɲ̊;ˈɢuttuɲ̊;ˈɢutˌtuɲ̊ɔ,V-PP;V-PN;V-VP;V-VI,to put (down) / place,
arrhanjh;nêränjh;arrhancef;arrhanjh,ær̥ˈr̥æɲ̊;ˈneraɲ̊;ær̥ˈr̥æɲ̊cɛf;ær̥ˈr̥æɲ̊,V-PP;V-PN;V-VP;V-VI,to travel;to stand,only travel by ground (never by sea);REG: arrhaanjh;ORIG: to walk + to stand;CF: *xea* 'stand > exist'; CF: *arrhea* 'status'
arrhaonj;nêräonj;arrhanjef;arrhainjh,ær̥ˈr̥æɔɲ;ˈneˌraɔɲ;ær̥ˈr̥æɲ̊ɛf;ær̥ˈr̥æɪ̯ɲ̊,V-PP;V-PN;V-VP;V-VI,to walk,ORIG: to march;CF: *arrhanjh* 'walk > travel'
ljêra';qêśśêra';ljêra';ljearae,ˈʎeræʔ;ˈɢeɕˌɕeræʔ;ˈʎeræʔ;ˈʎeɐ̯ˌræɛ,V-PP;V-PN;V-VP;V-VI,to pull,
ghaśśêra';nearaonêra';ghaśśêra';ghaśśearhae,ˈɣæɕˌɕeræʔ;ˈneɐ̯rˌæo̯neræʔ;ˈɣæɕˌɕeræʔ;ˈɣæɕɕeɐ̯ˌr̥æɛ,V-PP;V-PN;V-VP;V-VI,to push,
ququośśa;quźëquośśa;quñśancef;ququośśanjh,ˈɢuˌɢuo̯ɕɕæ;ˈɢuʑɤˌɢuo̯ɕɕæ;ˈɢuɴ̥ˌɕæɲ̊cɛf;ˈɢuˌɢuo̯ɕɕæɲ̊,V-PP;V-PN;V-VP;V-VI,to swim,REG: ququoźlja;ORIG: to march;CF: *arrhanjh* 'walk > travel'
quoźa;ququoźa;quźancef;quźanjh,ˈɢuo̯ʑæ;ˈɢuˌɢuo̯ʑæ;ˈɢuˌʑæɲ̊cɛf;ˈɢuˌʑæɲ̊,V-PP;V-PN;V-VP;V-VI,to travel by sea;to be in water,FROM: *ququośśa* 'swim'
qumboñaś;quźëbboñaś;qumbuħśancef;qumboljanjh,ˈɢumˌbɔɴæɕ;ˈɢuʑɤbˌbɔɴæɕ;ˈɢumbuħˌɕæɲ̊cɛf;ˈɢumˌbɔʎæɲ̊,V-PP;V-PN;V-VP;V-VI,to fly,REG: qumbbvoñaś;CF: *qumboñanjh* 'migration > to migrate'
qumvoś,ˈɢumʋɔɕ,V,to float;to be in the sky,FROM: *qumbbvoñaś > qumboñaś* 'fly'
peffa;jêmva;pefnjef;pefanjh,ˈpɛffæ;ˈjemʋæ;ˈpɛfɲ̊ɛf;ˈpɛfæɲ̊,V-PP;V-PN;V-VP;V-VI,to lie down,ORIG: to lie on one's side
gheanjh;neargheanjh;ghencef;gheanjh,ˈɣɛæɲ̊;ˈneɐ̯rˌɣɛæɲ̊;ˈɣɛɲ̊cɛf;ˈɣɛæɲ̊,V-PP;V-PN;V-VP;V-VI,to sit,
qumboñ,ˈɢumbɔɴ,V,to migrate,FROM: *qumboñanjh* 'migration'
yêre;yiźêre;yearainjef;yearaianjh,ˈɟerɛ;ˈɟiˌʑerɛ;ˈɟeɐ̯ˌræɪ̯ɲɛf;ˈɟeɐ̯ˌræɪ̯æɲ̊,V-PP;V-PN;V-VP;V-VI,to follow,DAT: object;CF: *yêre (yearef)* 'follow > agree'
ghärrhe;nearghärrhe;ghärrhe;ghärrheañe,ˈɣar̥r̥ɛ;ˈneɐ̯rˌɣar̥r̥ɛ;ˈɣar̥r̥ɛ;ˈɣar̥ˌr̥eɐ̯ɴɛ,V-PP;V-PN;V-VP;V-VI,to fall,CF: *ghäxxe* 'fall > fail'
camh;jêcamh;caf;camh,ˈcæm̥;ˈjecæm̥;ˈcæf;ˈcæm̥,V-PP;V-PN;V-VP;V-VI,to remain / stay,CF REG: *camħe* 'remain > inhabit'
ljanci;qêśśanci;ljanci;ljancie,ˈʎæɲ̊ci;ˈɢeɕˌɕæɲ̊ci;ˈʎæɲ̊ci;ˈʎæɲ̊ˌciɛ,V-PP;V-PN;V-VP;V-VI,to turn / change direction,
iem;jêñêm;iem;ieme,ˈie̯m;ˈjeɴem;ˈie̯m;ˈie̯mɛ,V-PP;V-PN;V-VP;V-VI,to bend,

quljârâ,ˈɢuʎʌrʌ,N-I,movement,FROM: *quljârâ* 'to go'
arrhanjh,ær̥ˈr̥æɲ̊,N-I,journey (by land),FROM: *arrhanjh* 'walk > travel by land'
quoźa,ˈɢuo̯ʑæ,N-I,voyage (by sea),FROM: *quoźa* 'swim > travel by sea'
qumboñanjh,ˈɢumˌbɔɴæɲ̊,N-A,journey (by air); migration,"literally of birds, but metaphorically of any animal;FROM: *qumboñaś* 'fly'"

yañrhê;yañqarrê;yañqref;yañqrênjh,ˈɟæɴ̥r̥e;ˈɟæɴˌɢærre;ˈɟæɴɢrɛf;ˈɟæɴɢreɲ̊,V-PP;V-PN;V-VP;V-VI,to hear,
jêñgha';jêxieñgha';jêñghaf;jêñghanjh,ˈjeɴɣæʔ;ˈjeˌxie̯ɴɣæʔ;ˈjeɴɣæf;ˈjeɴɣæɲ̊,V-PP;V-PN;V-VP;V-VI,to see,
qâuga;jêqâuga;qâugancef;qâuganjh,ˈɢɑʊ̯gæ;ˈjeˌɢɑʊ̯gæ;ˈɢɑʊ̯ˌgæɲ̊cɛf;ˈɢɑʊ̯gæɲ̊,V-PP;V-PN;V-VP;V-VI,IMPF: to know; PERF: to find out,
qâuanjh;jêqâuanjh;qâunjof;qâuanjh,ˈɢɑʊ̯æɲ̊;ˈjeˌɢɑʊ̯æɲ̊;ˈɢɑʊ̯ɲɔf;ˈɢɑʊ̯æɲ̊,V-PP;V-PN;V-VP;V-VI,IMPF: to think / believe; PERF: to think (up / of),
vaftce;ündvecce;vatfenjef;vatfeenjh,ˈʋæftcɛ;ˈynˌdʋɛccɛ;ˈʋætˌfɛɲ̊ɛf;ˈʋætˌfɛɛɲ̊,V-PP;V-PN;V-VP;V-VI,to smell,
qâugoś;jêqâugoś;qâugoś;qâugeśe,ˈɢɑʊ̯gɔɕ;ˈjeˌɢɑʊ̯gɔɕ;ˈɢɑʊ̯gɔɕ;ˈɢɑʊ̯ˌgɛɕɛ,V-PP;V-PN;V-VP;V-VI,IMPF: to be aware of;PERF: to realise,GEN: object,

yañrhê,ˈɟæɴ̥r̥e,N-I,hearing,FROM: *yañrhê* 'to hear'
pamfianjh,ˈpæm̥ˌfiæɲ̊,N-A,sound,
jêñgha',ˈjeɴɣæʔ,N-I,sight (sense of),FROM: *jêñgha* 'to see'
vaftce,ˈʋæftcɛ,N-I,smell (sense of),FROM: *vaftce* 'to smell'
ħanśanjh,ˈħæn̥ɕæɲ̊,N-A,smell / odour,CF REG: *ħanħaśxanjh* 'smoke'
qâugge,ˈɢɑʊ̯ggɛ,N-D,knowledge,FROM: *qâuga* 'to know'
qâuañge,ˈɢɑʊ̯ˌæɴgɛ,N-D,thinking / thought,FROM: *qâuanjh* 'to think'
qâuñkögge,ˈɢɑʊ̯ɴ̥ˌkøgɛ,N-D,thought,FROM: *qâuanjh* 'to think'

vaaś;ünyaaś;vanjef;vaanjh,ˈʋææɕ;ˈyɲˌɟææɕ;ˈʋæɲ̊ɛf;ˈʋææɲ̊,V-PP;V-PN;V-VP;V-VI,IMPF: to want / mean;PERF: to request,GEN: thing wanted/requested;DAT: target of want/request;ORIG: to say;CF: *qaoimh* 'to not want'
qaoimh;jêñaoimh;qaoinjef;qaoinjh,ˈɢæo̯im̥;ˈjeˌɴæo̯im̥;ˈɢæo̯ˌiɲ̊ɛf;ˈɢæo̯iɲ̊,V-PP;V-PN;V-VP;V-VI,IMPF: to not want;PERF: to request to not,GEN: thing wanted/requested;DAT: target of want/request;CF ORIG: *qaoi'ħêmh* 'to fear'; CF: *vaaś* 'to want'
qaoi'ħêmh;jêñoi'ħêmh;qaoi'ħêncef;qaoi'ħêñanjh,ˈɢæo̯ˌiʔħem̥;ˈjeɴɔˌiʔħem̥;ˈɢæo̯iʔˌħeɲ̊cɛf;ˈɢæo̯iʔˌħeɴ̥æɲ̊,V-PP;V-PN;V-VP;V-VI,IMPF: to fear;PERF: to become afraid,GEN: thing feared;CF: *qaoimh* 'to not want'
ljanji;nealjanji;ljanjienjef;ljanjin,ˈʎæɲ̊i;ˈneɐ̯ˌʎæɲ̊i;ˈʎæˌɲ̊ie̯ɲɛf;ˈʎæɲ̊in,V-PP;V-PN;V-VP;V-VI,IMPF: to like / prefer;PERF: to choose,DAT: thing liked; ACC: thing chosen;NOTE: PARTs merged with *ljanji* 'to give' and 'to take' (formal);CF semi-REG: *qaoimh* 'to love/adore'
ghaljanji;nealjanji;ghaljanjienjef;ghaljanjin,ˈɣæʎæɲ̊i;ˈneɐ̯ˌʎæɲ̊i;ˈɣæʎæɲ̊ˌie̯ɲɛf;ˈɣæʎæɲ̊in,V-PP;V-PN;V-VP;V-VI,IMPF: to love/adore;PERF: to show love,DAT: object;REG: arraljanji;CF: *ljanji* 'love>like'
yetfo;yexetfo;yetfaoñef;yetfoñ,ˈɟɛtfɔ;ˈɟɛˌxɛtfɔ;ˈɟɛˌtfæo̯ɴɛf;ˈɟɛtfɔɴ,V-PP;V-PN;V-VP;V-VI,IMPF: to be sure of;PERF: to ensure,DAT: thing sure of; ACC: thing ensured;CF REG: *yeccüa'fo* 'boast'
yeccüa'fo;yexecüa'fo;yeccüa'faoñef;yeccüa'foñ,ˈɟɛccyˌæʔfɔ;ˈɟɛxɛcyˌæʔfɔ;ˈɟɛccyæʔˌfæo̯ɴɛf;ˈɟɛccyˌæʔfɔɴ,V-PP;V-PN;V-VP;V-VI,IMPF: to be confident;PERF: to boast,CF: *yetfo* 'be sure'
ghänjh;nearghänjh;ghänjef;ghänjh,ˈɣaɲ̊;ˈneɐ̯rɣaɲ̊;ˈɣaɲ̊ɛf;ˈɣaɲ̊,V-PP;V-PN;V-VP;V-VI,to expect / hope / anticipate,DAT: object;CF REG: *ghärrhänjh* 'to wait'
kśanjh,ˈkɕæɲ̊,V,IMPF: to be able to / can;PERF: to succeed (at)/ achieve,DAT: ability/outcome;FROM: *xaśanjh* 'to arrive (common)'
ghäxxe;nearghäxe;ghäñqef;ghäxxänjh,ˈɣaxxɛ;ˈneɐ̯rˌɣaxxɛ;ˈɣaɴɢɛf;ˈɣaxˌxaɲ̊,V-PP;V-PN;V-VP;V-VI,IMPF: to be unable to do;PERF: to fail,DAT: thing unable;ACC: thing failed;CF REG: *ghärrhe* 'to fall'
ghärrhänjh;nearghärrhänjh;ghärrhanjef;ghärrhänjh,ˈɣar̥r̥aɲ̊;ˈneɐ̯rˌɣar̥r̥aɲ̊;ˈɣar̥ˌr̥æɲ̊ɛf;ˈɣar̥r̥aɲ̊,V-PP;V-PN;V-VP;V-VI,to wait,DAT: thing waited for;CF: *ghänjh* 'wait > expect'

vaaś,ˈʋææɕ,N-I,request / want,FROM: *vaaś* 'say > request/want'
ljañkeu,ˈʎæɴ̥køʊ̯,N-I,like / preference,FROM: *ljanjikeu* 'thing preferred'
ghaljanj,ˈɣæʎæɲ,N-H,love,FROM: *ghaljanji* 'to love'
ghäñkou,ˈɣaɴ̥kou̯,N-I,expectation / hope,FROM: *ghänjh-kou* 'thing expected'
kśañkeu,ˈkɕæɴ̥køʊ̯,N-I,good outcome / achievement,FROM: *kśanjh-keu* 'thing achieved'

rhe,ˈr̥ɛ,NUM,one,
quonj,ˈɢuo̯ɲ,NUM,two,
oum,ˈou̯m,NUM,three,
se'üś,ˈsɛʔyɕ,NUM,four,
ljêr,ˈʎer,NUM,five,CF: *ljêrâe'* 'hand'
źü,ˈʑy,NUM,six,
zui,ˈzuɪ̯,NUM,seven,
erear,ɛˈreɐ̯r,NUM,eight,
oruolj,ɔˈruo̯ʎ,NUM,nine,
ljêrqênj,ˈʎerɢeɲ,NUM,ten,FROM: *ljêr-qênj* 'hand.dual'
ljêrayex,ˈʎeræɟɛx,NUM,twenty,
neuljinj,ˈnøʊ̯ʎiɲ,NUM,thirty,
se'uźljënj,ˈsɛʔˌuʑʎɤɲ,NUM,forty,
ljêraljinj,ˈʎeræʎiɲ,NUM,fifty,

vae,ˈʋæɛ,ADJ,first;foremost,CF: *vaoñanjh* 'head'
yêrra,ˈɟerræ,ADJ,second,CF: *yêre* 'follow'
âumo,ˈɑʊ̯mɔ,ADJ,third,FROM: *oum-o* 'three-ish'
se'uźo,ˈsɛʔˌuʑɔ,ADJ,fourth,FROM: *se'üś-o* 'four-ish'
ljêra,ˈʎeræ,ADJ,fifth,FROM: *ljêr-o* 'five-ish'
iseu,ˈisøʊ̯,ADJ,sixth,FROM: *i-źü* 'of-six'
isei,ˈisei̯,ADJ,seventh,FROM: *i-zui* 'of-seven'
earer,ˈeɐ̯rɛr,ADJ,eighth,FROM: *i-erear* 'of-eight'
eareu,ˈeɐ̯røʊ̯,ADJ,ninth,FROM: *i-oruolj* 'of-nine'
irhêrqênj,ˈiˌr̥erɢeɲ,ADJ,tenth,FROM: *i-ljêrqênj* 'of-ten'

ħuomënj';ienjaominj';ħuomënj';ħuomince,ˈħuo̯mɤɲʔ;ˈie̯ˌɲæo̯miɲʔ;ˈħuo̯mɤɲʔ;ˈħuo̯ˌmiɲ̊cɛ,V-PP;V-PN;V-VP;V-VI,to count / measure,
quttśo;qu'fittśe;quttśo;quttśee,ˈɢucc͡ɕɔ;ˈɢuʔˌficc͡ɕɛ;ˈɢucc͡ɕɔ;ˈɢucˌc͡ɕɛɛ,V-PP;V-PN;V-VP;V-VI,to drink,
qompëñ;qoxfmëñ;qompëñ;qompuo,ˈɢɔm̥pɤɴ;ˈɢɔxfmɤɴ;ˈɢɔm̥pɤɴ;ˈɢɔm̥ˌpuɔ,V-PP;V-PN;V-VP;V-VI,to eat,
quñonj;quźjiñonj;quñonj;quomâenjo,ˈɢuɴɔɲ;ˈɢuʑˌjiɴɔɲ;ˈɢuɴɔɲ;ˈɢuo̯ˌmɑe̯ɲɔ,V-PP;V-PN;V-VP;V-VI,to bite,
vaħħoñ;ümoñ;vaħħoñ;vaħħaoe,ˈʋæħħɔɴ;ˈymɔɴ;ˈʋæħħɔɴ;ˈʋæħˌħæo̯ɛ,V-PP;V-PN;V-VP;V-VI,to say / tell / talk (about),ACC: words;DAT or LOC-PRN: listener;GEN: topic of talking;ORIG: to ask
qomë;yi'ħempê;qemieñef;qomëñ,ˈɢɔmɤ;ˈɟiʔˌħɛm̥pe;ˈɢɛˌmie̯ɴɛf;ˈɢɔmɤɴ,V-PP;V-PN;V-VP;V-VI,IMPF: to live;PERF: to survive,PART-NEG is equivalent to 'to be dead';REG: qghomë;CF: *yi'ħêmpê* 'to die'
vatfanjh;ündvanjh;vatfñef;vatfañh,ˈʋætfæɲ̊;ˈyndʋæɲ̊;ˈʋætfɴ̥ɛf;ˈʋætfæɴ̥,V-PP;V-PN;V-VP;V-VI,IMPF: to be alive;PERF: to come to life,
yi'ħêmpê;yicceghemê;yi'ħêmbieñef;yi'ħêmpêñ,ˈɟiʔˌħem̥pe;ˈɟicˌcɛɣɛme;ˈɟiʔħemˌbie̯ɴɛf;ˈɟiʔˌħem̥peɴ,V-PP;V-PN;V-VP;V-VI,IMPF: to be dead;PERF: to die,CF: *qjomë* 'to live'
peffi'ħê;jêmvi'ħê;peffi'ħeiñef;peffi'ħêñ,ˈpɛfˌfiʔħe;ˈjemˌʋiʔħe;ˈpɛffiʔˌħei̯ɴɛf;ˈpɛfˌfiʔħeɴ,V-PP;V-PN;V-VP;V-VI,IMPF: to sleep;PERF: to go to sleep,
uonjë';quħħuonjë';uonjë';uocie,ˈuo̯ɲɤʔ;ˈɢuħˌħuo̯ɲɤʔ;ˈuo̯ɲɤʔ;ˈuo̯ˌciɛ,V-PP;V-PN;V-VP;V-VI,to cut,
maonyi;âempâenyë;maonyi;maonyiñe,ˈmæo̯ɲɟi;ˈɑe̯m̥ˌpɑe̯ɲɟɤ;ˈmæo̯ɲɟi;ˈmæo̯ɲˌɟiɴɛ,V-PP;V-PN;V-VP;V-VI,to throw,REG: maonylji
vatfenjh;ündvenjh;vaftnjef;vaftenjh,ˈʋætfɛɲ̊;ˈyndʋɛɲ̊;ˈʋæftɲ̊ɛf;ˈʋæftɛɲ̊,V-PP;V-PN;V-VP;V-VI,to blow,subject as winds (or nil subject) or people,
qunljar;quźjinljar;qunyiśnjef;qunyiśanjh,ˈɢuɲʎær;ˈɢuʑˌjiɲʎær;ˈɢuɲˌɟiɕɲ̊ɛf;ˈɢuɲˌɟiɕæɲ̊,V-PP;V-PN;V-VP;V-VI,IMPF: to be in conflict;PERF: to fight,physical and metaphorical fighting,

ljomë;quljâmpë;ljomieñef;ljomëñ,ˈʎɔmɤ;ˈɢuˌʎʌm̥pɤ;ˈʎɔˌmie̯ɴɛf;ˈʎɔmɤɴ,V-PP;V-PN;V-VP;V-VI,to create / make,CF REG ORIG: *uiomë* 'give birth'
tuolja;jêtuolja;tuolja;tuoljo,ˈtuo̯ʎæ;ˈjeˌtuo̯ʎæ;ˈtuo̯ʎæ;ˈtuo̯ʎɔ,V-PP;V-PN;V-VP;V-VI,IMPF: to be different;PERF: to change (intrans),CAUS = to change (transitive),
ljienjunco;quśśiunco;ljienjunco;ljienjüncaoñe,ˈʎie̯ˌɲuɲ̊cɔ;ˈɢuɕɕiˌuɲ̊cɔ;ˈʎie̯ˌɲuɲ̊cɔ;ˈʎie̯ɲyɲ̊ˌcæo̯ɴɛ,V-PP;V-PN;V-VP;V-VI,to make / force,to make/force someone (ACC) to do something (DAT),
vônvë;vôxfienvê;vônvë;vônuoño,ˈʋonʋɤ;ˈʋoxˌfie̯nʋe;ˈʋonʋɤ;ˈʋonˌuo̯ɴɔ,V-PP;V-PN;V-VP;V-VI,to split / separate / take away,
qunduomoa;quźjëtuomoa;qunduomoa;qunumâeo,ˈɢunˌduo̯moɐ̯;ˈɢuʑjɤˌtuo̯moɐ̯;ˈɢunˌduo̯moɐ̯;ˈɢunuˌmɑe̯ɔ,V-PP;V-PN;V-VP;V-VI,to join / attach / add,
ghâeñ;nearghoñ;ghâeñ;ghâeño,ˈɣɑe̯ɴ;ˈneɐ̯rɣɔɴ;ˈɣɑe̯ɴ;ˈɣɑe̯ɴɔ,V-PP;V-PN;V-VP;V-VI,to prevent / hinder / deter,
yêrämh;yiźêrämh;yêrämh;yearäme,ˈɟeram̥;ˈɟiˌʑeram̥;ˈɟeram̥;ˈɟeɐ̯ˌram̥ɛ,V-PP;V-PN;V-VP;V-VI,to help,
vônluum;vôxfëtśuum;vônluum;vônluienje,ˈʋonˌluum;ˈʋoxfɤˌc͡ɕuum;ˈʋonˌluum;ˈʋonluˌie̯ɲɛ,V-PP;V-PN;V-VP;V-VI,to break (something),PASV = to break (intrans),
metlü;âemtlu;metlü;metluo,ˈmɛtly;ˈɑe̯m̥tlu;ˈmɛtly;ˈmɛtˌluɔ,V-PP;V-PN;V-VP;V-VI,to press / compress,

gharke,ˈɣær̥kɛ,N-D,life
kusko,ˈkuskɔ,N-D,plentitude / abundance,merged form w/ *kusko* 'summer';CF: *kuppa* 'many'
vifke,ˈʋifkɛ,N-D,victory,
mi'ürhikke,ˈmiʔyˌr̥ikkɛ,N-D,power,
ârrârhmiegge,ʌrˈrʌr̥ˌm̥ie̯ggɛ,N-D,freedom,
miakke,ˈmiˌækkɛ,N-D,wisdom,
rhe'ikke,ˈr̥ɛʔˌikkɛ,N-D,completion / wholeness,FROM: *rhe* 'one'
qunumâekko,ˈɢunuˌmɑe̯kkɔ,N-D,unity / joinedness,FROM: *qunduomoa* 'to join'
yiźmärh,ˈɟiʑmar̥,N-I,idea;ideal,
ârrhâmpax,ʌr̥ˈr̥ʌm̥pæx,N-I,progress,
vaħrha,ˈʋæħr̥æ,N-I,mistake;flaw,
fiebbre,ˈfie̯bbrɛ,N-I,all / total,
aoanjh,ˈæo̯æɲ̊,N-A,start,
färrhänjh,ˈfar̥r̥aɲ̊,N-A,end,
ljighmanjh,ˈʎiɣmæɲ̊,N-A,shadow,FROM: *ljixxamh* 'back'
yasrhuoljanjh,ˈɟæsˌr̥uo̯ʎæɲ̊,N-A,reflection / image
suncamh;sunjmonjh;sunjmonj;sunjke,ˈsuɲ̊cæm̥;ˈsuɲ̊m̥ɔɲ̊;ˈsuɲ̊m̥ɔɲ;ˈsuɲ̊kɛ,N-I;N-A;N-H;N-D,other / other one
kuinjaś,ˈkuɪ̯ɲæɕ,N-I,size

oar;oaro,ˈoɐ̯r;ˈoɐ̯rɔ,N-I;ADJ,red,
arräqqe;arräqqêe,ærˈraɢɢɛ;ærˈraɢˌɢeɛ,N-I;ADJ,black,
paomva;paomvaie,ˈpæo̯mʋæ;ˈpæo̯mˌʋæɪ̯ɛ,N-I;ADJ,white,
